"Points","HJ","PV","LJ","TJ","SP","Hept."
"1400","-","6.48","-","19.19","24.66","7265"
"1399","-","-","9.19","19.18","24.64","7261"
"1398","-","-","-","19.17","24.62","7256"
"1397","-","6.47","9.18","19.16","24.61","7251"
"1396","-","-","-","19.15","24.59","7246"
"1395","2.54","-","9.17","19.14","24.57","7242"
"1394","-","6.46","-","19.13","24.56","7237"
"1393","-","-","9.16","19.12","24.54","7232"
"1392","-","6.45","-","19.11","24.52","7228"
"1391","-","-","9.15","19.10","24.51","7223"
"1390","-","-","-","-","24.49","7218"
"1389","-","6.44","-","19.09","24.47","7213"
"1388","-","-","9.14","19.08","24.46","7209"
"1387","-","-","-","19.07","24.44","7204"
"1386","2.53","6.43","9.13","19.06","24.42","7199"
"1385","-","-","-","19.05","24.41","7194"
"1384","-","-","9.12","19.04","24.39","7190"
"1383","-","6.42","-","19.03","24.37","7185"
"1382","-","-","9.11","19.02","24.36","7180"
"1381","-","6.41","-","19.01","24.34","7176"
"1380","-","-","-","19.00","24.32","7171"
"1379","-","-","9.10","18.99","24.31","7166"
"1378","-","6.40","-","-","24.29","7161"
"1377","2.52","-","9.09","18.98","24.27","7157"
"1376","-","-","-","18.97","24.26","7152"
"1375","-","6.39","9.08","18.96","24.24","7147"
"1374","-","-","-","18.95","24.22","7142"
"1373","-","-","9.07","18.94","24.21","7138"
"1372","-","6.38","-","18.93","24.19","7133"
"1371","-","-","9.06","18.92","24.17","7128"
"1370","-","-","-","18.91","24.16","7123"
"1369","-","6.37","-","18.90","24.14","7119"
"1368","2.51","-","9.05","18.89","24.12","7114"
"1367","-","6.36","-","18.88","24.11","7109"
"1366","-","-","9.04","18.87","24.09","7105"
"1365","-","-","-","-","24.07","7100"
"1364","-","6.35","9.03","18.86","24.06","7095"
"1363","-","-","-","18.85","24.04","7090"
"1362","-","-","9.02","18.84","24.02","7086"
"1361","-","6.34","-","18.83","24.01","7081"
"1360","-","-","9.01","18.82","23.99","7076"
"1359","2.50","-","-","18.81","23.97","7071"
"1358","-","6.33","-","18.80","23.96","7067"
"1357","-","-","9.00","18.79","23.94","7062"
"1356","-","-","-","18.78","23.92","7057"
"1355","-","6.32","8.99","18.77","23.91","7052"
"1354","-","-","-","18.76","23.89","7048"
"1353","-","6.31","8.98","18.75","23.87","7043"
"1352","-","-","-","-","23.86","7038"
"1351","-","-","8.97","18.74","23.84","7033"
"1350","2.49","6.30","-","18.73","23.82","7029"
"1349","-","-","-","18.72","23.81","7024"
"1348","-","-","8.96","18.71","23.79","7019"
"1347","-","6.29","-","18.70","23.77","7015"
"1346","-","-","8.95","18.69","23.76","7010"
"1345","-","-","-","18.68","23.74","7005"
"1344","-","6.28","8.94","18.67","23.72","7000"
"1343","-","-","-","18.66","23.71","6996"
"1342","-","6.27","8.93","18.65","23.69","6991"
"1341","2.48","-","-","18.64","23.67","6986"
"1340","-","-","8.92","18.63","23.66","6981"
"1339","-","6.26","-","18.62","23.64","6977"
"1338","-","-","-","-","23.62","6972"
"1337","-","-","8.91","18.61","23.61","6967"
"1336","-","6.25","-","18.60","23.59","6962"
"1335","-","-","8.90","18.59","23.57","6958"
"1334","-","-","-","18.58","23.56","6953"
"1333","-","6.24","8.89","18.57","23.54","6948"
"1332","2.47","-","-","18.56","23.52","6943"
"1331","-","-","8.88","18.55","23.51","6939"
"1330","-","6.23","-","18.54","23.49","6934"
"1329","-","-","8.87","18.53","23.47","6929"
"1328","-","6.22","-","18.52","23.46","6924"
"1327","-","-","-","18.51","23.44","6920"
"1326","-","-","8.86","18.50","23.42","6915"
"1325","-","6.21","-","-","23.41","6910"
"1324","-","-","8.85","18.49","23.39","6905"
"1323","2.46","-","-","18.48","23.37","6901"
"1322","-","6.20","8.84","18.47","23.36","6896"
"1321","-","-","-","18.46","23.34","6891"
"1320","-","-","8.83","18.45","23.32","6886"
"1319","-","6.19","-","18.44","23.31","6882"
"1318","-","-","8.82","18.43","23.29","6877"
"1317","-","6.18","-","18.42","23.27","6872"
"1316","-","-","-","18.41","23.26","6867"
"1315","-","-","8.81","18.40","23.24","6863"
"1314","2.45","6.17","-","18.39","23.22","6858"
"1313","-","-","8.80","18.38","23.21","6853"
"1312","-","-","-","-","23.19","6848"
"1311","-","6.16","8.79","18.37","23.17","6844"
"1310","-","-","-","18.36","23.16","6839"
"1309","-","-","8.78","18.35","23.14","6834"
"1308","-","6.15","-","18.34","23.12","6829"
"1307","-","-","-","18.33","23.11","6825"
"1306","-","6.14","8.77","18.32","23.09","6820"
"1305","2.44","-","-","18.31","23.07","6815"
"1304","-","-","8.76","18.30","23.06","6810"
"1303","-","6.13","-","18.29","23.04","6806"
"1302","-","-","8.75","18.28","23.02","6801"
"1301","-","-","-","18.27","23.01","6796"
"1300","-","6.12","8.74","18.26","22.99","6791"
"1299","-","-","-","18.25","22.97","6786"
