"Points","600m","800m","1000m","1500m","Mile","2000m","3000m","2 Miles","5000m"
"1400","1:11.08","1:39.78","2:09.13","3:23.42","3:40.21","4:39.10","7:09.84","7:46.34","12:25.19"
"1399","1:11.10","1:39.81","2:09.17","3:23.49","3:40.28","4:39.19","7:09.98","7:46.50","12:25.43"
"1398","1:11.12","1:39.84","2:09.21","3:23.55","3:40.35","4:39.28","7:10.13","7:46.66","12:25.68"
"1397","1:11.14","1:39.87","2:09.25","3:23.62","3:40.42","4:39.37","7:10.28","7:46.81","12:25.93"
"1396","1:11.17","1:39.90","2:09.29","3:23.68","3:40.49","4:39.46","7:10.42","7:46.97","12:26.18"
"1395","1:11.19","1:39.93","2:09.33","3:23.75","3:40.56","4:39.55","7:10.57","7:47.13","12:26.43"
"1394","1:11.21","1:39.96","2:09.37","3:23.81","3:40.63","4:39.64","7:10.72","7:47.29","12:26.68"
"1393","1:11.23","1:39.99","2:09.41","3:23.88","3:40.70","4:39.73","7:10.86","7:47.45","12:26.93"
"1392","1:11.25","1:40.02","2:09.45","3:23.94","3:40.77","4:39.82","7:11.01","7:47.60","12:27.17"
"1391","1:11.27","1:40.05","2:09.48","3:24.01","3:40.84","4:39.90","7:11.16","7:47.76","12:27.42"
"1390","1:11.29","1:40.08","2:09.52","3:24.07","3:40.91","4:39.99","7:11.31","7:47.92","12:27.67"
"1389","1:11.32","1:40.11","2:09.56","3:24.14","3:40.98","4:40.08","7:11.45","7:48.08","12:27.92"
"1388","1:11.34","1:40.14","2:09.60","3:24.20","3:41.05","4:40.17","7:11.60","7:48.23","12:28.17"
"1387","1:11.36","1:40.17","2:09.64","3:24.27","3:41.12","4:40.26","7:11.75","7:48.39","12:28.42"
"1386","1:11.38","1:40.20","2:09.68","3:24.34","3:41.19","4:40.35","7:11.89","7:48.55","12:28.67"
"1385","1:11.40","1:40.23","2:09.72","3:24.40","3:41.26","4:40.44","7:12.04","7:48.71","12:28.92"
"1384","1:11.42","1:40.26","2:09.76","3:24.47","3:41.33","4:40.53","7:12.19","7:48.87","12:29.17"
"1383","1:11.45","1:40.29","2:09.80","3:24.53","3:41.40","4:40.62","7:12.34","7:49.03","12:29.42"
"1382","1:11.47","1:40.32","2:09.84","3:24.60","3:41.47","4:40.71","7:12.48","7:49.18","12:29.67"
"1381","1:11.49","1:40.35","2:09.88","3:24.66","3:41.54","4:40.80","7:12.63","7:49.34","12:29.92"
"1380","1:11.51","1:40.38","2:09.92","3:24.73","3:41.61","4:40.89","7:12.78","7:49.50","12:30.17"
"1379","1:11.53","1:40.41","2:09.96","3:24.80","3:41.68","4:40.98","7:12.93","7:49.66","12:30.42"
"1378","1:11.55","1:40.44","2:10.00","3:24.86","3:41.75","4:41.07","7:13.07","7:49.82","12:30.67"
"1377","1:11.57","1:40.47","2:10.04","3:24.93","3:41.82","4:41.16","7:13.22","7:49.98","12:30.92"
"1376","1:11.60","1:40.50","2:10.08","3:24.99","3:41.89","4:41.25","7:13.37","7:50.14","12:31.17"
"1375","1:11.62","1:40.54","2:10.12","3:25.06","3:41.96","4:41.34","7:13.52","7:50.29","12:31.42"
"1374","1:11.64","1:40.57","2:10.16","3:25.12","3:42.03","4:41.43","7:13.66","7:50.45","12:31.67"
"1373","1:11.66","1:40.60","2:10.20","3:25.19","3:42.10","4:41.52","7:13.81","7:50.61","12:31.92"
"1372","1:11.68","1:40.63","2:10.24","3:25.26","3:42.17","4:41.61","7:13.96","7:50.77","12:32.17"
"1371","1:11.70","1:40.66","2:10.28","3:25.32","3:42.24","4:41.69","7:14.11","7:50.93","12:32.42"
"1370","1:11.73","1:40.69","2:10.32","3:25.39","3:42.31","4:41.78","7:14.26","7:51.09","12:32.67"
"1369","1:11.75","1:40.72","2:10.36","3:25.45","3:42.38","4:41.87","7:14.40","7:51.25","12:32.92"
"1368","1:11.77","1:40.75","2:10.40","3:25.52","3:42.45","4:41.96","7:14.55","7:51.41","12:33.17"
"1367","1:11.79","1:40.78","2:10.44","3:25.59","3:42.52","4:42.05","7:14.70","7:51.57","12:33.42"
"1366","1:11.81","1:40.81","2:10.48","3:25.65","3:42.59","4:42.14","7:14.85","7:51.73","12:33.68"
