"Points","50m","55m","60m","50mH","55mH","60mH"
"1400","-","-","-","5.95","-","-"
"1399","-","-","-","-","-","-"
"1398","-","5.79","-","-","6.53","6.95"
"1397","5.38","-","-","-","-","-"
"1396","-","-","-","5.96","-","-"
"1395","-","-","6.19","-","-","6.96"
"1394","-","-","-","-","6.54","-"
"1393","-","-","-","-","-","-"
"1392","-","-","-","5.97","-","-"
"1391","-","5.80","-","-","-","6.97"
"1390","5.39","-","-","-","6.55","-"
"1389","-","-","6.20","-","-","-"
"1388","-","-","-","-","-","-"
"1387","-","-","-","5.98","-","6.98"
"1386","-","-","-","-","6.56","-"
"1385","-","5.81","-","-","-","-"
"1384","-","-","-","-","-","6.99"
"1383","5.40","-","-","5.99","-","-"
"1382","-","-","6.21","-","6.57","-"
"1381","-","-","-","-","-","-"
"1380","-","-","-","-","-","7.00"
"1379","-","-","-","6.00","-","-"
"1378","-","5.82","-","-","6.58","-"
"1377","-","-","-","-","-","-"
"1376","5.41","-","6.22","-","-","7.01"
"1375","-","-","-","-","-","-"
"1374","-","-","-","6.01","6.59","-"
"1373","-","-","-","-","-","7.02"
"1372","-","-","-","-","-","-"
"1371","-","5.83","-","-","-","-"
"1370","-","-","6.23","6.02","6.60","-"
"1369","-","-","-","-","-","7.03"
"1368","5.42","-","-","-","-","-"
"1367","-","-","-","-","-","-"
"1366","-","-","-","6.03","6.61","-"
"1365","-","5.84","-","-","-","7.04"
"1364","-","-","6.24","-","-","-"
"1363","-","-","-","-","-","-"
"1362","-","-","-","-","-","7.05"
"1361","5.43","-","-","6.04","6.62","-"
"1360","-","-","-","-","-","-"
"1359","-","-","-","-","-","-"
"1358","-","5.85","6.25","-","-","7.06"
"1357","-","-","-","6.05","6.63","-"
"1356","-","-","-","-","-","-"
"1355","-","-","-","-","-","7.07"
"1354","5.44","-","-","-","-","-"
"1353","-","-","-","6.06","6.64","-"
"1352","-","5.86","6.26","-","-","-"
"1351","-","-","-","-","-","7.08"
"1350","-","-","-","-","-","-"
"1349","-","-","-","-","6.65","-"
"1348","-","-","-","6.07","-","-"
"1347","5.45","-","-","-","-","7.09"
"1346","-","-","6.27","-","-","-"
"1345","-","5.87","-","-","6.66","-"
"1344","-","-","-","6.08","-","7.10"
"1343","-","-","-","-","-","-"
"1342","-","-","-","-","-","-"
"1341","-","-","-","-","6.67","-"
"1340","5.46","-","6.28","6.09","-","7.11"
"1339","-","5.88","-","-","-","-"
"1338","-","-","-","-","-","-"
"1337","-","-","-","-","6.68","7.12"
"1336","-","-","-","-","-","-"
"1335","-","-","-","6.10","-","-"
"1334","-","-","6.29","-","-","-"
"1333","-","-","-","-","6.69","7.13"
"1332","5.47","5.89","-","-","-","-"
"1331","-","-","-","6.11","-","-"
"1330","-","-","-","-","-","7.14"
"1329","-","-","-","-","6.70","-"
"1328","-","-","6.30","-","-","-"
"1327","-","-","-","6.12","-","-"
"1326","-","5.90","-","-","-","7.15"
"1325","5.48","-","-","-","6.71","-"
"1324","-","-","-","-","-","-"
"1323","-","-","-","6.13","-","-"
"1322","-","-","6.31","-","-","7.16"
"1321","-","-","-","-","6.72","-"
"1320","-","-","-","-","-","-"
"1319","-","5.91","-","-","-","7.17"
"1318","5.49","-","-","6.14","-","-"
"1317","-","-","-","-","6.73","-"
"1316","-","-","6.32","-","-","-"
"1315","-","-","-","-","-","7.18"
"1314","-","-","-","6.15","-","-"
"1313","-","5.92","-","-","6.74","-"
"1312","-","-","-","-","-","7.19"
"1311","5.50","-","-","-","-","-"
"1310","-","-","6.33","6.16","-","-"
