"Points","HJ","PV","LJ","TJ","SP","DT","HT","JT","Decathlon"
"1400","-","6.48","-","19.19","24.66","78.39","93.30","100.90","9747"
"1399","-","-","9.19","19.18","24.64","78.34","93.24","100.83","9741"
"1398","-","-","-","19.17","24.62","78.28","93.17","100.76","9734"
"1397","-","6.47","9.18","19.16","24.61","78.23","93.11","100.69","9728"
"1396","-","-","-","19.15","24.59","78.17","93.04","100.62","9722"
"1395","2.54","-","9.17","19.14","24.57","78.12","92.98","100.55","9716"
"1394","-","6.46","-","19.13","24.56","78.07","92.92","100.48","9709"
"1393","-","-","9.16","19.12","24.54","78.01","92.85","100.41","9703"
"1392","-","6.45","-","19.11","24.52","77.96","92.79","100.34","9697"
"1391","-","-","9.15","19.10","24.51","77.90","92.72","100.27","9690"
"1390","-","-","-","-","24.49","77.85","92.66","100.20","9684"
"1389","-","6.44","-","19.09","24.47","77.80","92.59","100.13","9678"
"1388","-","-","9.14","19.08","24.46","77.74","92.53","100.06","9671"
"1387","-","-","-","19.07","24.44","77.69","92.46","99.99","9665"
"1386","2.53","6.43","9.13","19.06","24.42","77.63","92.40","99.93","9659"
"1385","-","-","-","19.05","24.41","77.58","92.33","99.86","9652"
"1384","-","-","9.12","19.04","24.39","77.53","92.27","99.79","9646"
"1383","-","6.42","-","19.03","24.37","77.47","92.21","99.72","9640"
"1382","-","-","9.11","19.02","24.36","77.42","92.14","99.65","9633"
"1381","-","6.41","-","19.01","24.34","77.36","92.08","99.58","9627"
"1380","-","-","-","19.00","24.32","77.31","92.01","99.51","9621"
"1379","-","-","9.10","18.99","24.31","77.26","91.95","99.44","9614"
"1378","-","6.40","-","-","24.29","77.20","91.88","99.37","9608"
"1377","2.52","-","9.09","18.98","24.27","77.15","91.82","99.30","9602"
"1376","-","-","-","18.97","24.26","77.09","91.75","99.23","9595"
"1375","-","6.39","9.08","18.96","24.24","77.04","91.69","99.16","9589"
"1374","-","-","-","18.95","24.22","76.99","91.62","99.09","9583"
"1373","-","-","9.07","18.94","24.21","76.93","91.56","99.02","9576"
"1372","-","6.38","-","18.93","24.19","76.88","91.49","98.95","9570"
"1371","-","-","9.06","18.92","24.17","76.82","91.43","98.88","9564"
"1370","-","-","-","18.91","24.16","76.77","91.37","98.81","9557"
"1369","-","6.37","-","18.90","24.14","76.72","91.30","98.74","9551"
"1368","2.51","-","9.05","18.89","24.12","76.66","91.24","98.67","9545"
"1367","-","6.36","-","18.88","24.11","76.61","91.17","98.60","9538"
"1366","-","-","9.04","18.87","24.09","76.55","91.11","98.53","9532"
"1365","-","-","-","-","24.07","76.50","91.04","98.46","9526"
"1364","-","6.35","9.03","18.86","24.06","76.45","90.98","98.39","9519"
"1363","-","-","-","18.85","24.04","76.39","90.91","98.32","9513"
"1362","-","-","9.02","18.84","24.02","76.34","90.85","98.25","9507"
"1361","-","6.34","-","18.83","24.01","76.28","90.78","98.18","9500"
"1360","-","-","9.01","18.82","23.99","76.23","90.72","98.11","9494"
"1359","2.50","-","-","18.81","23.97","76.18","90.65","98.04","9488"
"1358","-","6.33","-","18.80","23.96","76.12","90.59","97.97","9481"
"1357","-","-","9.00","18.79","23.94","76.07","90.53","97.90","9475"
"1356","-","-","-","18.78","23.92","76.01","90.46","97.83","9468"
"1355","-","6.32","8.99","18.77","23.91","75.96","90.40","97.76","9462"
"1354","-","-","-","18.76","23.89","75.91","90.33","97.69","9456"
"1353","-","6.31","8.98","18.75","23.87","75.85","90.27","97.62","9449"
"1352","-","-","-","-","23.86","75.80","90.20","97.55","9443"
"1351","-","-","8.97","18.74","23.84","75.74","90.14","97.48","9437"
"1350","2.49","6.30","-","18.73","23.82","75.69","90.07","97.41","9430"
