"Points","HJ","PV","LJ","TJ","SP","Pent."
"1400","-","5.41","7.82","16.73","23.07","5589"
"1399","2.18","-","-","16.72","23.05","5585"
"1398","-","-","7.81","16.71","23.03","5581"
"1397","-","5.40","-","16.70","23.02","5578"
"1396","-","-","7.80","16.69","23.00","5574"
"1395","-","-","-","16.68","22.99","5571"
"1394","-","5.39","7.79","16.67","22.97","5567"
"1393","-","-","-","16.66","22.95","5563"
"1392","-","-","7.78","16.65","22.94","5560"
"1391","-","5.38","-","16.64","22.92","5556"
"1390","-","-","-","16.63","22.91","5552"
"1389","2.17","-","7.77","16.62","22.89","5549"
"1388","-","5.37","-","-","22.87","5545"
"1387","-","-","7.76","16.61","22.86","5541"
"1386","-","-","-","16.60","22.84","5538"
"1385","-","5.36","7.75","16.59","22.83","5534"
"1384","-","-","-","16.58","22.81","5530"
"1383","-","-","7.74","16.57","22.80","5527"
"1382","-","-","-","16.56","22.78","5523"
"1381","-","5.35","-","16.55","22.76","5520"
"1380","-","-","7.73","16.54","22.75","5516"
"1379","2.16","-","-","16.53","22.73","5512"
"1378","-","5.34","7.72","16.52","22.72","5509"
"1377","-","-","-","16.51","22.70","5505"
"1376","-","-","7.71","16.50","22.68","5501"
"1375","-","5.33","-","16.49","22.67","5498"
"1374","-","-","7.70","16.48","22.65","5494"
"1373","-","-","-","16.47","22.64","5490"
"1372","-","5.32","-","16.46","22.62","5487"
"1371","-","-","7.69","16.45","22.60","5483"
"1370","-","-","-","16.44","22.59","5479"
"1369","2.15","5.31","7.68","16.43","22.57","5476"
"1368","-","-","-","16.42","22.56","5472"
"1367","-","-","7.67","16.41","22.54","5468"
"1366","-","-","-","16.40","22.52","5465"
"1365","-","5.30","7.66","-","22.51","5461"
"1364","-","-","-","16.39","22.49","5457"
"1363","-","-","-","16.38","22.48","5454"
"1362","-","5.29","7.65","16.37","22.46","5450"
"1361","-","-","-","16.36","22.45","5447"
"1360","-","-","7.64","16.35","22.43","5443"
"1359","2.14","5.28","-","16.34","22.41","5439"
"1358","-","-","7.63","16.33","22.40","5436"
"1357","-","-","-","16.32","22.38","5432"
"1356","-","5.27","7.62","16.31","22.37","5428"
"1355","-","-","-","16.30","22.35","5425"
"1354","-","-","-","16.29","22.33","5421"
"1353","-","5.26","7.61","16.28","22.32","5417"
"1352","-","-","-","16.27","22.30","5414"
"1351","-","-","7.60","16.26","22.29","5410"
"1350","-","5.25","-","16.25","22.27","5406"
"1349","2.13","-","7.59","16.24","22.25","5403"
"1348","-","-","-","16.23","22.24","5399"
"1347","-","-","7.58","16.22","22.22","5395"
"1346","-","5.24","-","16.21","22.21","5392"
"1345","-","-","7.57","16.20","22.19","5388"
"1344","-","-","-","16.19","22.17","5384"
"1343","-","5.23","-","16.18","22.16","5381"
"1342","-","-","7.56","16.17","22.14","5377"
"1341","-","-","-","-","22.13","5373"
"1340","-","5.22","7.55","16.16","22.11","5370"
"1339","2.12","-","-","16.15","22.09","5366"
"1338","-","-","7.54","16.14","22.08","5362"
"1337","-","5.21","-","16.13","22.06","5359"
"1336","-","-","7.53","16.12","22.05","5355"
"1335","-","-","-","16.11","22.03","5351"
"1334","-","5.20","-","16.10","22.02","5348"
"1333","-","-","7.52","16.09","22.00","5344"
"1332","-","-","-","16.08","21.98","5340"
"1331","-","5.19","7.51","16.07","21.97","5337"
"1330","-","-","-","16.06","21.95","5333"
"1329","2.11","-","7.50","16.05","21.94","5329"
"1328","-","-","-","16.04","21.92","5326"
"1327","-","5.18","7.49","16.03","21.90","5322"
