"Points","200m","300m","400m","500m","4x200m","4x400m"
"1400","20.78","32.92","46.10","1:00.12","1:21.81","3:03.46"
"1399","20.79","32.94","46.12","1:00.15","1:21.85","3:03.57"
"1398","20.80","32.95","46.14","1:00.18","1:21.90","3:03.67"
"1397","20.81","32.97","46.17","1:00.21","1:21.95","3:03.78"
"1396","20.82","32.99","46.19","1:00.25","1:21.99","3:03.89"
"1395","20.83","33.00","46.22","1:00.28","1:22.04","3:04.00"
"1394","20.84","33.02","46.24","1:00.31","1:22.09","3:04.10"
"1393","20.85","33.04","46.26","1:00.34","1:22.13","3:04.21"
"1392","20.86","33.05","46.29","1:00.38","1:22.18","3:04.32"
"1391","20.87","33.07","46.31","1:00.41","1:22.23","3:04.43"
"1390","20.88","33.09","46.33","1:00.44","1:22.27","3:04.53"
"1389","20.89","33.10","46.36","1:00.47","1:22.32","3:04.64"
"1388","20.90","33.12","46.38","1:00.51","1:22.37","3:04.75"
"1387","20.91","33.14","46.40","1:00.54","1:22.41","3:04.86"
"1386","20.92","33.15","46.43","1:00.57","1:22.46","3:04.96"
"1385","20.93","33.17","46.45","1:00.60","1:22.51","3:05.07"
"1384","20.94","33.18","46.48","1:00.64","1:22.55","3:05.18"
"1383","20.95","33.20","46.50","1:00.67","1:22.60","3:05.29"
"1382","-","33.22","46.52","1:00.70","1:22.65","3:05.40"
"1381","20.96","33.23","46.55","1:00.73","1:22.69","3:05.50"
"1380","20.97","33.25","46.57","1:00.77","1:22.74","3:05.61"
"1379","20.98","33.27","46.59","1:00.80","1:22.79","3:05.72"
"1378","20.99","33.28","46.62","1:00.83","1:22.83","3:05.83"
"1377","21.00","33.30","46.64","1:00.86","1:22.88","3:05.94"
"1376","21.01","33.32","46.67","1:00.90","1:22.93","3:06.05"
"1375","21.02","33.33","46.69","1:00.93","1:22.97","3:06.15"
"1374","21.03","33.35","46.71","1:00.96","1:23.02","3:06.26"
"1373","21.04","33.37","46.74","1:00.99","1:23.07","3:06.37"
"1372","21.05","33.38","46.76","1:01.03","1:23.11","3:06.48"
"1371","21.06","33.40","46.78","1:01.06","1:23.16","3:06.59"
"1370","21.07","33.42","46.81","1:01.09","1:23.21","3:06.70"
"1369","21.08","33.43","46.83","1:01.12","1:23.26","3:06.80"
"1368","21.09","33.45","46.86","1:01.16","1:23.30","3:06.91"
"1367","21.10","33.47","46.88","1:01.19","1:23.35","3:07.02"
"1366","21.11","33.48","46.90","1:01.22","1:23.40","3:07.13"
"1365","21.12","33.50","46.93","1:01.25","1:23.44","3:07.24"
"1364","21.13","33.52","46.95","1:01.29","1:23.49","3:07.35"
"1363","21.14","33.53","46.97","1:01.32","1:23.54","3:07.46"
"1362","21.15","33.55","47.00","1:01.35","1:23.59","3:07.56"
"1361","21.16","33.57","47.02","1:01.39","1:23.63","3:07.67"
"1360","21.17","33.58","47.05","1:01.42","1:23.68","3:07.78"
"1359","21.18","33.60","47.07","1:01.45","1:23.73","3:07.89"
"1358","21.19","33.62","47.09","1:01.48","1:23.77","3:08.00"
"1357","21.20","33.63","47.12","1:01.52","1:23.82","3:08.11"
"1356","21.21","33.65","47.14","1:01.55","1:23.87","3:08.22"
"1355","21.22","33.67","47.17","1:01.58","1:23.92","3:08.33"
"1354","21.23","33.68","47.19","1:01.62","1:23.96","3:08.44"
"1353","-","33.70","47.21","1:01.65","1:24.01","3:08.55"
"1352","21.24","33.72","47.24","1:01.68","1:24.06","3:08.65"
"1351","21.25","33.73","47.26","1:01.71","1:24.10","3:08.76"
"1350","21.26","33.75","47.29","1:01.75","1:24.15","3:08.87"
"1349","21.27","33.77","47.31","1:01.78","1:24.20","3:08.98"
"1348","21.28","33.78","47.33","1:01.81","1:24.25","3:09.09"
"1347","21.29","33.80","47.36","1:01.85","1:24.29","3:09.20"
"1346","21.30","33.82","47.38","1:01.88","1:24.34","3:09.31"
"1345","21.31","33.84","47.41","1:01.91","1:24.39","3:09.42"
"1344","21.32","33.85","47.43","1:01.94","1:24.44","3:09.53"
"1343","21.33","33.87","47.45","1:01.98","1:24.48","3:09.64"
"1342","21.34","33.89","47.48","1:02.01","1:24.53","3:09.75"
"1341","21.35","33.90","47.50","1:02.04","1:24.58","3:09.86"
"1340","21.36","33.92","47.53","1:02.08","1:24.63","3:09.97"
"1339","21.37","33.94","47.55","1:02.11","1:24.67","3:10.08"
"1338","21.38","33.95","47.57","1:02.14","1:24.72","3:10.19"
"1337","21.39","33.97","47.60","1:02.17","1:24.77","3:10.30"
"1336","21.40","33.99","47.62","1:02.21","1:24.82","3:10.41"
"1335","21.41","34.00","47.65","1:02.24","1:24.86","3:10.52"
"1334","21.42","34.02","47.67","1:02.27","1:24.91","3:10.63"
"1333","21.43","34.04","47.69","1:02.31","1:24.96","3:10.74"
"1332","21.44","34.05","47.72","1:02.34","1:25.01","3:10.85"
"1331","21.45","34.07","47.74","1:02.37","1:25.05","3:10.96"
"1330","21.46","34.09","47.77","1:02.41","1:25.10","3:11.07"
"1329","21.47","34.10","47.79","1:02.44","1:25.15","3:11.18"
"1328","21.48","34.12","47.81","1:02.47","1:25.20","3:11.29"
"1327","21.49","34.14","47.84","1:02.51","1:25.25","3:11.40"
"1326","21.50","34.16","47.86","1:02.54","1:25.29","3:11.51"
"1325","21.51","34.17","47.89","1:02.57","1:25.34","3:11.62"
"1324","21.52","34.19","47.91","1:02.61","1:25.39","3:11.73"
"1323","21.53","34.21","47.94","1:02.64","1:25.44","3:11.84"
"1322","21.54","34.22","47.96","1:02.67","1:25.48","3:11.95"
"1321","21.55","34.24","47.98","1:02.70","1:25.53","3:12.06"
"1320","21.56","34.26","48.01","1:02.74","1:25.58","3:12.17"
"1319","21.57","34.27","48.03","1:02.77","1:25.63","3:12.28"
"1318","21.58","34.29","48.06","1:02.80","1:25.68","3:12.39"
"1317","21.59","34.31","48.08","1:02.84","1:25.72","3:12.50"
"1316","21.60","34.32","48.11","1:02.87","1:25.77","3:12.61"
"1315","21.61","34.34","48.13","1:02.90","1:25.82","3:12.72"
"1314","21.62","34.36","48.15","1:02.94","1:25.87","3:12.83"
"1313","21.63","34.38","48.18","1:02.97","1:25.92","3:12.95"
"1312","21.64","34.39","48.20","1:03.00","1:25.96","3:13.06"
"1311","21.65","34.41","48.23","1:03.04","1:26.01","3:13.17"
"1310","21.66","34.43","48.25","1:03.07","1:26.06","3:13.28"
"1309","21.67","34.44","48.28","1:03.10","1:26.11","3:13.39"
"1308","21.68","34.46","48.30","1:03.14","1:26.16","3:13.50"
"1307","-","34.48","48.32","1:03.17","1:26.20","3:13.61"
"1306","21.69","34.49","48.35","1:03.20","1:26.25","3:13.72"
"1305","21.70","34.51","48.37","1:03.24","1:26.30","3:13.83"
"1304","21.71","34.53","48.40","1:03.27","1:26.35","3:13.94"
"1303","21.72","34.55","48.42","1:03.30","1:26.40","3:14.06"
"1302","21.73","34.56","48.45","1:03.34","1:26.45","3:14.17"
"1301","21.74","34.58","48.47","1:03.37","1:26.49","3:14.28"
"1300","21.75","34.60","48.49","1:03.41","1:26.54","3:14.39"
"1299","21.76","34.61","48.52","1:03.44","1:26.59","3:14.50"
"1298","21.77","34.63","48.54","1:03.47","1:26.64","3:14.61"
"1297","21.78","34.65","48.57","1:03.51","1:26.69","3:14.72"
"1296","21.79","34.67","48.59","1:03.54","1:26.73","3:14.84"
"1295","21.80","34.68","48.62","1:03.57","1:26.78","3:14.95"
"1294","21.81","34.70","48.64","1:03.61","1:26.83","3:15.06"
"1293","21.82","34.72","48.67","1:03.64","1:26.88","3:15.17"
"1292","21.83","34.73","48.69","1:03.67","1:26.93","3:15.28"
"1291","21.84","34.75","48.72","1:03.71","1:26.98","3:15.39"
"1290","21.85","34.77","48.74","1:03.74","1:27.03","3:15.51"
"1289","21.86","34.79","48.76","1:03.77","1:27.07","3:15.62"
"1288","21.87","34.80","48.79","1:03.81","1:27.12","3:15.73"
"1287","21.88","34.82","48.81","1:03.84","1:27.17","3:15.84"
"1286","21.89","34.84","48.84","1:03.88","1:27.22","3:15.95"
"1285","21.90","34.85","48.86","1:03.91","1:27.27","3:16.07"
"1284","21.91","34.87","48.89","1:03.94","1:27.32","3:16.18"
"1283","21.92","34.89","48.91","1:03.98","1:27.36","3:16.29"
"1282","21.93","34.91","48.94","1:04.01","1:27.41","3:16.40"
"1281","21.94","34.92","48.96","1:04.04","1:27.46","3:16.51"
"1280","21.95","34.94","48.99","1:04.08","1:27.51","3:16.63"
"1279","21.96","34.96","49.01","1:04.11","1:27.56","3:16.74"
"1278","21.97","34.97","49.03","1:04.15","1:27.61","3:16.85"
"1277","21.98","34.99","49.06","1:04.18","1:27.66","3:16.96"
"1276","21.99","35.01","49.08","1:04.21","1:27.71","3:17.08"
"1275","22.00","35.03","49.11","1:04.25","1:27.75","3:17.19"
"1274","22.01","35.04","49.13","1:04.28","1:27.80","3:17.30"
"1273","22.02","35.06","49.16","1:04.31","1:27.85","3:17.41"
"1272","22.03","35.08","49.18","1:04.35","1:27.90","3:17.53"
"1271","22.04","35.09","49.21","1:04.38","1:27.95","3:17.64"
"1270","22.05","35.11","49.23","1:04.42","1:28.00","3:17.75"
"1269","22.06","35.13","49.26","1:04.45","1:28.05","3:17.86"
"1268","22.07","35.15","49.28","1:04.48","1:28.10","3:17.98"
"1267","22.08","35.16","49.31","1:04.52","1:28.14","3:18.09"
"1266","22.09","35.18","49.33","1:04.55","1:28.19","3:18.20"
"1265","22.10","35.20","49.36","1:04.59","1:28.24","3:18.32"
"1264","22.11","35.22","49.38","1:04.62","1:28.29","3:18.43"
"1263","22.12","35.23","49.41","1:04.65","1:28.34","3:18.54"
"1262","22.13","35.25","49.43","1:04.69","1:28.39","3:18.65"
"1261","22.14","35.27","49.45","1:04.72","1:28.44","3:18.77"
"1260","22.15","35.29","49.48","1:04.76","1:28.49","3:18.88"
"1259","22.16","35.30","49.50","1:04.79","1:28.54","3:18.99"
"1258","22.17","35.32","49.53","1:04.82","1:28.59","3:19.11"
"1257","22.18","35.34","49.55","1:04.86","1:28.63","3:19.22"
"1256","22.19","35.35","49.58","1:04.89","1:28.68","3:19.33"
"1255","22.20","35.37","49.60","1:04.93","1:28.73","3:19.45"
"1254","22.21","35.39","49.63","1:04.96","1:28.78","3:19.56"
"1253","22.22","35.41","49.65","1:04.99","1:28.83","3:19.67"
"1252","22.23","35.42","49.68","1:05.03","1:28.88","3:19.79"
"1251","22.24","35.44","49.70","1:05.06","1:28.93","3:19.90"
"1250","22.25","35.46","49.73","1:05.10","1:28.98","3:20.01"
"1249","22.26","35.48","49.75","1:05.13","1:29.03","3:20.13"
"1248","22.27","35.49","49.78","1:05.16","1:29.08","3:20.24"
"1247","22.28","35.51","49.80","1:05.20","1:29.13","3:20.36"
"1246","22.29","35.53","49.83","1:05.23","1:29.18","3:20.47"
"1245","22.30","35.55","49.85","1:05.27","1:29.22","3:20.58"
"1244","22.31","35.56","49.88","1:05.30","1:29.27","3:20.70"
"1243","22.32","35.58","49.90","1:05.34","1:29.32","3:20.81"
"1242","22.33","35.60","49.93","1:05.37","1:29.37","3:20.92"
"1241","22.35","35.62","49.95","1:05.40","1:29.42","3:21.04"
"1240","22.36","35.63","49.98","1:05.44","1:29.47","3:21.15"
"1239","22.37","35.65","50.00","1:05.47","1:29.52","3:21.27"
"1238","22.38","35.67","50.03","1:05.51","1:29.57","3:21.38"
"1237","22.39","35.69","50.05","1:05.54","1:29.62","3:21.49"
"1236","22.40","35.70","50.08","1:05.58","1:29.67","3:21.61"
"1235","22.41","35.72","50.10","1:05.61","1:29.72","3:21.72"
"1234","22.42","35.74","50.13","1:05.64","1:29.77","3:21.84"
"1233","22.43","35.76","50.15","1:05.68","1:29.82","3:21.95"
"1232","22.44","35.77","50.18","1:05.71","1:29.87","3:22.07"
"1231","22.45","35.79","50.20","1:05.75","1:29.92","3:22.18"
