"Points","600m","800m","1000m","1500m","Mile","2000m","3000m","2 Miles","5000m"
"1400","1:15.58","1:47.55","2:19.62","3:39.74","3:57.19","5:00.11","7:44.78","8:18.93","13:17.32"
"1399","1:15.62","1:47.60","2:19.69","3:39.85","3:57.31","5:00.27","7:45.04","8:19.22","13:17.78"
"1398","1:15.67","1:47.66","2:19.76","3:39.97","3:57.44","5:00.43","7:45.31","8:19.50","13:18.25"
"1397","1:15.71","1:47.72","2:19.83","3:40.08","3:57.56","5:00.60","7:45.57","8:19.79","13:18.71"
"1396","1:15.75","1:47.77","2:19.91","3:40.20","3:57.69","5:00.76","7:45.83","8:20.07","13:19.18"
"1395","1:15.79","1:47.83","2:19.98","3:40.31","3:57.81","5:00.92","7:46.09","8:20.36","13:19.65"
"1394","1:15.83","1:47.88","2:20.05","3:40.43","3:57.94","5:01.08","7:46.36","8:20.64","13:20.11"
"1393","1:15.87","1:47.94","2:20.12","3:40.54","3:58.06","5:01.24","7:46.62","8:20.93","13:20.58"
"1392","1:15.91","1:48.00","2:20.19","3:40.66","3:58.19","5:01.40","7:46.88","8:21.21","13:21.04"
"1391","1:15.95","1:48.05","2:20.27","3:40.77","3:58.31","5:01.57","7:47.15","8:21.50","13:21.51"
"1390","1:15.99","1:48.11","2:20.34","3:40.88","3:58.44","5:01.73","7:47.41","8:21.79","13:21.98"
"1389","1:16.03","1:48.16","2:20.41","3:41.00","3:58.56","5:01.89","7:47.67","8:22.07","13:22.44"
"1388","1:16.08","1:48.22","2:20.48","3:41.11","3:58.68","5:02.05","7:47.94","8:22.36","13:22.91"
"1387","1:16.12","1:48.28","2:20.55","3:41.23","3:58.81","5:02.22","7:48.20","8:22.64","13:23.38"
"1386","1:16.16","1:48.33","2:20.63","3:41.34","3:58.93","5:02.38","7:48.47","8:22.93","13:23.85"
"1385","1:16.20","1:48.39","2:20.70","3:41.46","3:59.06","5:02.54","7:48.73","8:23.22","13:24.31"
"1384","1:16.24","1:48.44","2:20.77","3:41.57","3:59.18","5:02.70","7:48.99","8:23.50","13:24.78"
"1383","1:16.28","1:48.50","2:20.84","3:41.69","3:59.31","5:02.86","7:49.26","8:23.79","13:25.25"
"1382","1:16.32","1:48.56","2:20.91","3:41.80","3:59.44","5:03.03","7:49.52","8:24.08","13:25.72"
"1381","1:16.36","1:48.61","2:20.99","3:41.92","3:59.56","5:03.19","7:49.79","8:24.36","13:26.19"
"1380","1:16.41","1:48.67","2:21.06","3:42.03","3:59.69","5:03.35","7:50.05","8:24.65","13:26.66"
"1379","1:16.45","1:48.73","2:21.13","3:42.15","3:59.81","5:03.51","7:50.32","8:24.94","13:27.12"
"1378","1:16.49","1:48.78","2:21.20","3:42.26","3:59.94","5:03.68","7:50.58","8:25.22","13:27.59"
"1377","1:16.53","1:48.84","2:21.28","3:42.38","4:00.06","5:03.84","7:50.84","8:25.51","13:28.06"
"1376","1:16.57","1:48.90","2:21.35","3:42.50","4:00.19","5:04.00","7:51.11","8:25.80","13:28.53"
"1375","1:16.61","1:48.95","2:21.42","3:42.61","4:00.31","5:04.17","7:51.37","8:26.08","13:29.00"
"1374","1:16.65","1:49.01","2:21.49","3:42.73","4:00.44","5:04.33","7:51.64","8:26.37","13:29.47"
"1373","1:16.70","1:49.06","2:21.56","3:42.84","4:00.56","5:04.49","7:51.90","8:26.66","13:29.94"
"1372","1:16.74","1:49.12","2:21.64","3:42.96","4:00.69","5:04.66","7:52.17","8:26.95","13:30.41"
"1371","1:16.78","1:49.18","2:21.71","3:43.07","4:00.82","5:04.82","7:52.43","8:27.23","13:30.88"
"1370","1:16.82","1:49.23","2:21.78","3:43.19","4:00.94","5:04.98","7:52.70","8:27.52","13:31.35"
"1369","1:16.86","1:49.29","2:21.85","3:43.30","4:01.07","5:05.14","7:52.97","8:27.81","13:31.82"
"1368","1:16.90","1:49.35","2:21.93","3:43.42","4:01.19","5:05.31","7:53.23","8:28.10","13:32.29"
"1367","1:16.94","1:49.40","2:22.00","3:43.54","4:01.32","5:05.47","7:53.50","8:28.39","13:32.76"
"1366","1:16.99","1:49.46","2:22.07","3:43.65","4:01.44","5:05.63","7:53.76","8:28.68","13:33.23"
"1365","1:17.03","1:49.52","2:22.14","3:43.77","4:01.57","5:05.80","7:54.03","8:28.96","13:33.70"
"1364","1:17.07","1:49.57","2:22.22","3:43.88","4:01.70","5:05.96","7:54.29","8:29.25","13:34.17"
"1363","1:17.11","1:49.63","2:22.29","3:44.00","4:01.82","5:06.13","7:54.56","8:29.54","13:34.65"
"1362","1:17.15","1:49.69","2:22.36","3:44.11","4:01.95","5:06.29","7:54.83","8:29.83","13:35.12"
"1361","1:17.19","1:49.74","2:22.44","3:44.23","4:02.07","5:06.45","7:55.09","8:30.12","13:35.59"
"1360","1:17.23","1:49.80","2:22.51","3:44.35","4:02.20","5:06.62","7:55.36","8:30.41","13:36.06"
"1359","1:17.28","1:49.86","2:22.58","3:44.46","4:02.33","5:06.78","7:55.63","8:30.70","13:36.53"
"1358","1:17.32","1:49.91","2:22.65","3:44.58","4:02.45","5:06.94","7:55.89","8:30.98","13:37.01"
"1357","1:17.36","1:49.97","2:22.73","3:44.70","4:02.58","5:07.11","7:56.16","8:31.27","13:37.48"
"1356","1:17.40","1:50.03","2:22.80","3:44.81","4:02.71","5:07.27","7:56.43","8:31.56","13:37.95"
"1355","1:17.44","1:50.08","2:22.87","3:44.93","4:02.83","5:07.44","7:56.69","8:31.85","13:38.42"
"1354","1:17.48","1:50.14","2:22.95","3:45.04","4:02.96","5:07.60","7:56.96","8:32.14","13:38.90"
"1353","1:17.53","1:50.20","2:23.02","3:45.16","4:03.09","5:07.76","7:57.23","8:32.43","13:39.37"
"1352","1:17.57","1:50.25","2:23.09","3:45.28","4:03.21","5:07.93","7:57.49","8:32.72","13:39.84"
"1351","1:17.61","1:50.31","2:23.16","3:45.39","4:03.34","5:08.09","7:57.76","8:33.01","13:40.32"
"1350","1:17.65","1:50.37","2:23.24","3:45.51","4:03.47","5:08.26","7:58.03","8:33.30","13:40.79"
"1349","1:17.69","1:50.42","2:23.31","3:45.63","4:03.59","5:08.42","7:58.30","8:33.59","13:41.26"
"1348","1:17.73","1:50.48","2:23.38","3:45.74","4:03.72","5:08.59","7:58.56","8:33.88","13:41.74"
"1347","1:17.78","1:50.54","2:23.46","3:45.86","4:03.85","5:08.75","7:58.83","8:34.17","13:42.21"
"1346","1:17.82","1:50.60","2:23.53","3:45.98","4:03.97","5:08.92","7:59.10","8:34.46","13:42.69"
