"Points","50m","55m","60m","50mH","55mH","60mH"
"1400","-","-","6.50","-","-","-"
"1399","5.59","6.04","-","-","6.50","7.00"
"1398","-","-","-","6.01","-","-"
"1397","-","-","-","-","-","7.01"
"1396","-","-","6.51","-","6.51","-"
"1395","5.60","6.05","-","6.02","-","-"
"1394","-","-","-","-","-","7.02"
"1393","-","-","6.52","-","6.52","-"
"1392","-","-","-","6.03","-","7.03"
"1391","5.61","6.06","-","-","6.53","-"
"1390","-","-","-","-","-","-"
"1389","-","-","6.53","6.04","-","7.04"
"1388","-","-","-","-","6.54","-"
"1387","-","6.07","-","-","-","7.05"
"1386","5.62","-","-","6.05","-","-"
"1385","-","-","6.54","-","6.55","-"
"1384","-","-","-","-","-","7.06"
"1383","-","6.08","-","6.06","6.56","-"
"1382","5.63","-","6.55","-","-","7.07"
"1381","-","-","-","-","-","-"
"1380","-","-","-","6.07","6.57","-"
"1379","-","6.09","-","-","-","7.08"
"1378","5.64","-","6.56","-","-","-"
"1377","-","-","-","6.08","6.58","7.09"
"1376","-","-","-","-","-","-"
"1375","-","6.10","-","-","-","7.10"
"1374","5.65","-","6.57","6.09","6.59","-"
"1373","-","-","-","-","-","-"
"1372","-","-","-","-","6.60","7.11"
"1371","-","6.11","-","6.10","-","-"
"1370","-","-","6.58","-","-","7.12"
"1369","5.66","-","-","-","6.61","-"
"1368","-","-","-","6.11","-","-"
"1367","-","6.12","6.59","-","-","7.13"
"1366","-","-","-","-","6.62","-"
"1365","5.67","-","-","6.12","-","7.14"
"1364","-","6.13","-","-","6.63","-"
"1363","-","-","6.60","-","-","-"
"1362","-","-","-","6.13","-","7.15"
"1361","5.68","-","-","-","6.64","-"
"1360","-","6.14","-","-","-","7.16"
"1359","-","-","6.61","6.14","-","-"
"1358","-","-","-","-","6.65","-"
"1357","5.69","-","-","-","-","7.17"
"1356","-","6.15","6.62","6.15","6.66","-"
"1355","-","-","-","-","-","7.18"
"1354","-","-","-","-","-","-"
"1353","-","-","-","6.16","6.67","-"
"1352","5.70","6.16","6.63","-","-","7.19"
"1351","-","-","-","-","-","-"
"1350","-","-","-","6.17","6.68","7.20"
"1349","-","-","-","-","-","-"
"1348","5.71","6.17","6.64","-","6.69","-"
"1347","-","-","-","6.18","-","7.21"
"1346","-","-","-","-","-","-"
"1345","-","-","6.65","-","6.70","7.22"
"1344","5.72","6.18","-","6.19","-","-"
"1343","-","-","-","-","-","7.23"
"1342","-","-","-","-","6.71","-"
"1341","-","-","6.66","6.20","-","-"
"1340","5.73","6.19","-","-","6.72","7.24"
"1339","-","-","-","-","-","-"
"1338","-","-","-","6.21","-","7.25"
"1337","-","6.20","6.67","-","6.73","-"
"1336","5.74","-","-","-","-","-"
"1335","-","-","-","6.22","-","7.26"
"1334","-","-","6.68","-","6.74","-"
"1333","-","6.21","-","-","-","7.27"
"1332","-","-","-","6.23","6.75","-"
"1331","5.75","-","-","-","-","-"
"1330","-","-","6.69","-","-","7.28"
"1329","-","6.22","-","6.24","6.76","-"
"1328","-","-","-","-","-","7.29"
"1327","5.76","-","-","-","-","-"
"1326","-","-","6.70","6.25","6.77","-"
"1325","-","6.23","-","-","-","7.30"
"1324","-","-","-","-","6.78","-"
"1323","5.77","-","6.71","6.26","-","7.31"
"1322","-","-","-","-","-","-"
"1321","-","6.24","-","-","6.79","7.32"
"1320","-","-","-","6.27","-","-"
"1319","5.78","-","6.72","-","6.80","-"
"1318","-","-","-","6.28","-","7.33"
"1317","-","6.25","-","-","-","-"
