"Points","HJ","PV","LJ","TJ","SP","DT","HT","JT","Heptathlon"
"1400","-","5.41","7.82","16.73","23.07","77.74","88.89","77.29","7635"
"1399","2.18","-","-","16.72","23.05","77.69","88.83","77.24","7630"
"1398","-","-","7.81","16.71","23.03","77.64","88.77","77.18","7625"
"1397","-","5.40","-","16.70","23.02","77.58","88.70","77.13","7620"
"1396","-","-","7.80","16.69","23.00","77.53","88.64","77.08","7615"
"1395","-","-","-","16.68","22.99","77.47","88.58","77.02","7610"
"1394","-","5.39","7.79","16.67","22.97","77.42","88.52","76.97","7605"
"1393","-","-","-","16.66","22.95","77.37","88.46","76.92","7600"
"1392","-","-","7.78","16.65","22.94","77.31","88.40","76.86","7595"
"1391","-","5.38","-","16.64","22.92","77.26","88.34","76.81","7590"
"1390","-","-","-","16.63","22.91","77.21","88.27","76.75","7585"
"1389","2.17","-","7.77","16.62","22.89","77.15","88.21","76.70","7580"
"1388","-","5.37","-","-","22.87","77.10","88.15","76.65","7575"
"1387","-","-","7.76","16.61","22.86","77.04","88.09","76.59","7570"
"1386","-","-","-","16.60","22.84","76.99","88.03","76.54","7565"
"1385","-","5.36","7.75","16.59","22.83","76.94","87.97","76.49","7560"
"1384","-","-","-","16.58","22.81","76.88","87.91","76.43","7555"
"1383","-","-","7.74","16.57","22.80","76.83","87.84","76.38","7550"
"1382","-","-","-","16.56","22.78","76.77","87.78","76.33","7545"
"1381","-","5.35","-","16.55","22.76","76.72","87.72","76.27","7540"
"1380","-","-","7.73","16.54","22.75","76.67","87.66","76.22","7535"
"1379","2.16","-","-","16.53","22.73","76.61","87.60","76.17","7530"
"1378","-","5.34","7.72","16.52","22.72","76.56","87.54","76.11","7526"
"1377","-","-","-","16.51","22.70","76.51","87.48","76.06","7521"
"1376","-","-","7.71","16.50","22.68","76.45","87.41","76.00","7516"
"1375","-","5.33","-","16.49","22.67","76.40","87.35","75.95","7511"
"1374","-","-","7.70","16.48","22.65","76.34","87.29","75.90","7506"
"1373","-","-","-","16.47","22.64","76.29","87.23","75.84","7501"
"1372","-","5.32","-","16.46","22.62","76.24","87.17","75.79","7496"
"1371","-","-","7.69","16.45","22.60","76.18","87.11","75.74","7491"
"1370","-","-","-","16.44","22.59","76.13","87.05","75.68","7486"
"1369","2.15","5.31","7.68","16.43","22.57","76.07","86.98","75.63","7481"
"1368","-","-","-","16.42","22.56","76.02","86.92","75.58","7476"
"1367","-","-","7.67","16.41","22.54","75.97","86.86","75.52","7471"
"1366","-","-","-","16.40","22.52","75.91","86.80","75.47","7466"
"1365","-","5.30","7.66","-","22.51","75.86","86.74","75.41","7461"
"1364","-","-","-","16.39","22.49","75.80","86.68","75.36","7456"
"1363","-","-","-","16.38","22.48","75.75","86.61","75.31","7451"
"1362","-","5.29","7.65","16.37","22.46","75.70","86.55","75.25","7446"
"1361","-","-","-","16.36","22.45","75.64","86.49","75.20","7441"
"1360","-","-","7.64","16.35","22.43","75.59","86.43","75.15","7436"
"1359","2.14","5.28","-","16.34","22.41","75.54","86.37","75.09","7431"
"1358","-","-","7.63","16.33","22.40","75.48","86.31","75.04","7426"
"1357","-","-","-","16.32","22.38","75.43","86.25","74.99","7421"
"1356","-","5.27","7.62","16.31","22.37","75.37","86.18","74.93","7416"
"1355","-","-","-","16.30","22.35","75.32","86.12","74.88","7411"
"1354","-","-","-","16.29","22.33","75.27","86.06","74.83","7406"
"1353","-","5.26","7.61","16.28","22.32","75.21","86.00","74.77","7401"
"1352","-","-","-","16.27","22.30","75.16","85.94","74.72","7396"
"1351","-","-","7.60","16.26","22.29","75.10","85.88","74.66","7391"
"1350","-","5.25","-","16.25","22.27","75.05","85.82","74.61","7386"
"1349","2.13","-","7.59","16.24","22.25","75.00","85.75","74.56","7381"
"1348","-","-","-","16.23","22.24","74.94","85.69","74.50","7376"
"1347","-","-","7.58","16.22","22.22","74.89","85.63","74.45","7371"
"1346","-","5.24","-","16.21","22.21","74.83","85.57","74.40","7366"
"1345","-","-","7.57","16.20","22.19","74.78","85.51","74.34","7361"
"1344","-","-","-","16.19","22.17","74.73","85.45","74.29","7356"
"1343","-","5.23","-","16.18","22.16","74.67","85.39","74.24","7351"
"1342","-","-","7.56","16.17","22.14","74.62","85.32","74.18","7346"
"1341","-","-","-","-","22.13","74.56","85.26","74.13","7341"
"1340","-","5.22","7.55","16.16","22.11","74.51","85.20","74.07","7336"
"1339","2.12","-","-","16.15","22.09","74.46","85.14","74.02","7331"
"1338","-","-","7.54","16.14","22.08","74.40","85.08","73.97","7326"
"1337","-","5.21","-","16.13","22.06","74.35","85.02","73.91","7321"
"1336","-","-","7.53","16.12","22.05","74.29","84.95","73.86","7316"
"1335","-","-","-","16.11","22.03","74.24","84.89","73.81","7311"
"1334","-","5.20","-","16.10","22.02","74.19","84.83","73.75","7306"
"1333","-","-","7.52","16.09","22.00","74.13","84.77","73.70","7301"
"1332","-","-","-","16.08","21.98","74.08","84.71","73.65","7296"
"1331","-","5.19","7.51","16.07","21.97","74.03","84.65","73.59","7291"
"1330","-","-","-","16.06","21.95","73.97","84.59","73.54","7286"
"1329","2.11","-","7.50","16.05","21.94","73.92","84.52","73.48","7281"
"1328","-","-","-","16.04","21.92","73.86","84.46","73.43","7276"
"1327","-","5.18","7.49","16.03","21.90","73.81","84.40","73.38","7271"
"1326","-","-","-","16.02","21.89","73.76","84.34","73.32","7266"
"1325","-","-","-","16.01","21.87","73.70","84.28","73.27","7261"
"1324","-","5.17","7.48","16.00","21.86","73.65","84.22","73.22","7256"
"1323","-","-","-","15.99","21.84","73.59","84.15","73.16","7251"
"1322","-","-","7.47","15.98","21.82","73.54","84.09","73.11","7246"
"1321","-","5.16","-","15.97","21.81","73.49","84.03","73.06","7241"
"1320","-","-","7.46","15.96","21.79","73.43","83.97","73.00","7236"
"1319","2.10","-","-","15.95","21.78","73.38","83.91","72.95","7231"
"1318","-","5.15","7.45","15.94","21.76","73.32","83.85","72.89","7226"
"1317","-","-","-","15.93","21.74","73.27","83.79","72.84","7221"
"1316","-","-","7.44","-","21.73","73.22","83.72","72.79","7216"
"1315","-","5.14","-","15.92","21.71","73.16","83.66","72.73","7211"
"1314","-","-","-","15.91","21.70","73.11","83.60","72.68","7206"
"1313","-","-","7.43","15.90","21.68","73.05","83.54","72.63","7201"
"1312","-","5.13","-","15.89","21.66","73.00","83.48","72.57","7196"
"1311","-","-","7.42","15.88","21.65","72.95","83.42","72.52","7191"
"1310","-","-","-","15.87","21.63","72.89","83.35","72.46","7186"
"1309","2.09","-","7.41","15.86","21.62","72.84","83.29","72.41","7181"
"1308","-","5.12","-","15.85","21.60","72.78","83.23","72.36","7176"
"1307","-","-","7.40","15.84","21.59","72.73","83.17","72.30","7171"
"1306","-","-","-","15.83","21.57","72.68","83.11","72.25","7166"
"1305","-","5.11","-","15.82","21.55","72.62","83.05","72.20","7161"
"1304","-","-","7.39","15.81","21.54","72.57","82.99","72.14","7156"
"1303","-","-","-","15.80","21.52","72.51","82.92","72.09","7151"
"1302","-","5.10","7.38","15.79","21.51","72.46","82.86","72.04","7146"
"1301","-","-","-","15.78","21.49","72.41","82.80","71.98","7141"
"1300","-","-","7.37","15.77","21.47","72.35","82.74","71.93","7136"
"1299","2.08","5.09","-","15.76","21.46","72.30","82.68","71.87","7131"
"1298","-","-","7.36","15.75","21.44","72.24","82.62","71.82","7126"
"1297","-","-","-","15.74","21.43","72.19","82.55","71.77","7121"
"1296","-","5.08","-","15.73","21.41","72.14","82.49","71.71","7116"
"1295","-","-","7.35","15.72","21.39","72.08","82.43","71.66","7111"
"1294","-","-","-","15.71","21.38","72.03","82.37","71.61","7106"
"1293","-","5.07","7.34","15.70","21.36","71.97","82.31","71.55","7101"
"1292","-","-","-","15.69","21.35","71.92","82.25","71.50","7096"
"1291","-","-","7.33","15.68","21.33","71.87","82.18","71.45","7091"
"1290","-","5.06","-","15.67","21.31","71.81","82.12","71.39","7086"
"1289","2.07","-","7.32","-","21.30","71.76","82.06","71.34","7081"
"1288","-","-","-","15.66","21.28","71.70","82.00","71.28","7076"
"1287","-","-","7.31","15.65","21.27","71.65","81.94","71.23","7071"
"1286","-","5.05","-","15.64","21.25","71.60","81.88","71.18","7066"
"1285","-","-","-","15.63","21.23","71.54","81.82","71.12","7061"
"1284","-","-","7.30","15.62","21.22","71.49","81.75","71.07","7056"
"1283","-","5.04","-","15.61","21.20","71.43","81.69","71.02","7051"
"1282","-","-","7.29","15.60","21.19","71.38","81.63","70.96","7046"
