"Points","100m","100mH","200m","300m","400m","400mH","4x100m","4x200m","4x400m"
"1400","10.12","11.24","20.51","32.27","45.35","48.07","38.04","1:19.29","3:00.61"
"1399","-","11.25","20.52","32.29","45.37","48.09","38.06","1:19.34","3:00.72"
"1398","-","-","-","32.31","45.40","48.12","38.08","1:19.39","3:00.83"
"1397","10.13","11.26","20.53","32.32","45.42","48.15","38.11","1:19.43","3:00.94"
"1396","-","11.27","20.54","32.34","45.44","48.18","38.13","1:19.48","3:01.04"
"1395","10.14","-","20.55","32.35","45.46","48.21","38.15","1:19.53","3:01.15"
"1394","-","11.28","20.56","32.37","45.49","48.24","38.17","1:19.58","3:01.26"
"1393","-","11.29","20.57","32.39","45.51","48.27","38.19","1:19.62","3:01.36"
"1392","10.15","-","20.58","32.40","45.53","48.30","38.21","1:19.67","3:01.47"
"1391","-","11.30","20.59","32.42","45.56","48.33","38.24","1:19.72","3:01.58"
"1390","10.16","11.31","20.60","32.43","45.58","48.36","38.26","1:19.77","3:01.69"
"1389","-","-","-","32.45","45.60","48.39","38.28","1:19.81","3:01.79"
"1388","10.17","11.32","20.61","32.47","45.63","48.42","38.30","1:19.86","3:01.90"
"1387","-","11.33","20.62","32.48","45.65","48.45","38.32","1:19.91","3:02.01"
"1386","-","-","20.63","32.50","45.67","48.48","38.34","1:19.96","3:02.12"
"1385","10.18","11.34","20.64","32.51","45.70","48.51","38.36","1:20.00","3:02.22"
"1384","-","11.35","20.65","32.53","45.72","48.53","38.39","1:20.05","3:02.33"
"1383","10.19","-","20.66","32.55","45.74","48.56","38.41","1:20.10","3:02.44"
"1382","-","11.36","20.67","32.56","45.77","48.59","38.43","1:20.15","3:02.55"
"1381","10.20","11.37","20.68","32.58","45.79","48.62","38.45","1:20.20","3:02.65"
"1380","-","-","20.69","32.59","45.81","48.65","38.47","1:20.24","3:02.76"
"1379","-","11.38","-","32.61","45.84","48.68","38.49","1:20.29","3:02.87"
"1378","10.21","11.39","20.70","32.63","45.86","48.71","38.52","1:20.34","3:02.98"
"1377","-","-","20.71","32.64","45.88","48.74","38.54","1:20.39","3:03.08"
"1376","10.22","11.40","20.72","32.66","45.91","48.77","38.56","1:20.43","3:03.19"
"1375","-","11.41","20.73","32.67","45.93","48.80","38.58","1:20.48","3:03.30"
"1374","10.23","-","20.74","32.69","45.95","48.83","38.60","1:20.53","3:03.41"
"1373","-","11.42","20.75","32.71","45.98","48.86","38.62","1:20.58","3:03.52"
"1372","-","11.43","20.76","32.72","46.00","48.89","38.64","1:20.63","3:03.62"
"1371","10.24","11.44","20.77","32.74","46.02","48.92","38.67","1:20.67","3:03.73"
"1370","-","-","20.78","32.76","46.05","48.95","38.69","1:20.72","3:03.84"
"1369","10.25","11.45","-","32.77","46.07","48.98","38.71","1:20.77","3:03.95"
"1368","-","11.46","20.79","32.79","46.09","49.01","38.73","1:20.82","3:04.06"
"1367","10.26","-","20.80","32.80","46.12","49.04","38.75","1:20.87","3:04.16"
"1366","-","11.47","20.81","32.82","46.14","49.07","38.77","1:20.91","3:04.27"
"1365","-","11.48","20.82","32.84","46.16","49.10","38.80","1:20.96","3:04.38"
"1364","10.27","-","20.83","32.85","46.19","49.13","38.82","1:21.01","3:04.49"
"1363","-","11.49","20.84","32.87","46.21","49.16","38.84","1:21.06","3:04.60"
"1362","10.28","11.50","20.85","32.88","46.23","49.18","38.86","1:21.11","3:04.71"
"1361","-","-","20.86","32.90","46.26","49.21","38.88","1:21.15","3:04.81"
"1360","10.29","11.51","20.87","32.92","46.28","49.24","38.90","1:21.20","3:04.92"
"1359","-","11.52","-","32.93","46.30","49.27","38.93","1:21.25","3:05.03"
"1358","-","-","20.88","32.95","46.33","49.30","38.95","1:21.30","3:05.14"
"1357","10.30","11.53","20.89","32.97","46.35","49.33","38.97","1:21.35","3:05.25"
"1356","-","11.54","20.90","32.98","46.37","49.36","38.99","1:21.39","3:05.36"
"1355","10.31","-","20.91","33.00","46.40","49.39","39.01","1:21.44","3:05.47"
"1354","-","11.55","20.92","33.01","46.42","49.42","39.04","1:21.49","3:05.57"
"1353","10.32","11.56","20.93","33.03","46.44","49.45","39.06","1:21.54","3:05.68"
"1352","-","-","20.94","33.05","46.47","49.48","39.08","1:21.59","3:05.79"
"1351","-","11.57","20.95","33.06","46.49","49.51","39.10","1:21.64","3:05.90"
"1350","10.33","11.58","20.96","33.08","46.51","49.54","39.12","1:21.68","3:06.01"
"1349","-","-","20.97","33.10","46.54","49.57","39.14","1:21.73","3:06.12"
"1348","10.34","11.59","-","33.11","46.56","49.60","39.17","1:21.78","3:06.23"
"1347","-","11.60","20.98","33.13","46.58","49.63","39.19","1:21.83","3:06.34"
"1346","10.35","11.61","20.99","33.14","46.61","49.66","39.21","1:21.88","3:06.45"
"1345","-","-","21.00","33.16","46.63","49.69","39.23","1:21.92","3:06.55"
"1344","10.36","11.62","21.01","33.18","46.66","49.72","39.25","1:21.97","3:06.66"
"1343","-","11.63","21.02","33.19","46.68","49.75","39.28","1:22.02","3:06.77"
"1342","-","-","21.03","33.21","46.70","49.78","39.30","1:22.07","3:06.88"
"1341","10.37","11.64","21.04","33.23","46.73","49.81","39.32","1:22.12","3:06.99"
"1340","-","11.65","21.05","33.24","46.75","49.84","39.34","1:22.17","3:07.10"
"1339","10.38","-","21.06","33.26","46.77","49.87","39.36","1:22.22","3:07.21"
"1338","-","11.66","21.07","33.28","46.80","49.90","39.38","1:22.26","3:07.32"
"1337","10.39","11.67","-","33.29","46.82","49.93","39.41","1:22.31","3:07.43"
"1336","-","-","21.08","33.31","46.84","49.96","39.43","1:22.36","3:07.54"
"1335","-","11.68","21.09","33.32","46.87","49.99","39.45","1:22.41","3:07.65"
"1334","10.40","11.69","21.10","33.34","46.89","50.02","39.47","1:22.46","3:07.76"
"1333","-","-","21.11","33.36","46.91","50.05","39.49","1:22.51","3:07.87"
"1332","10.41","11.70","21.12","33.37","46.94","50.08","39.52","1:22.55","3:07.98"
"1331","-","11.71","21.13","33.39","46.96","50.11","39.54","1:22.60","3:08.09"
"1330","10.42","-","21.14","33.41","46.99","50.14","39.56","1:22.65","3:08.19"
"1329","-","11.72","21.15","33.42","47.01","50.17","39.58","1:22.70","3:08.30"
"1328","-","11.73","21.16","33.44","47.03","50.20","39.60","1:22.75","3:08.41"
"1327","10.43","11.74","21.17","33.46","47.06","50.23","39.63","1:22.80","3:08.52"
"1326","-","-","21.18","33.47","47.08","50.26","39.65","1:22.85","3:08.63"
"1325","10.44","11.75","-","33.49","47.10","50.29","39.67","1:22.90","3:08.74"
"1324","-","11.76","21.19","33.50","47.13","50.32","39.69","1:22.94","3:08.85"
"1323","10.45","-","21.20","33.52","47.15","50.35","39.71","1:22.99","3:08.96"
"1322","-","11.77","21.21","33.54","47.18","50.38","39.74","1:23.04","3:09.07"
"1321","10.46","11.78","21.22","33.55","47.20","50.41","39.76","1:23.09","3:09.18"
"1320","-","-","21.23","33.57","47.22","50.44","39.78","1:23.14","3:09.29"
"1319","-","11.79","21.24","33.59","47.25","50.47","39.80","1:23.19","3:09.40"
"1318","10.47","11.80","21.25","33.60","47.27","50.50","39.82","1:23.24","3:09.51"
"1317","-","-","21.26","33.62","47.29","50.53","39.85","1:23.29","3:09.62"
"1316","10.48","11.81","21.27","33.64","47.32","50.56","39.87","1:23.33","3:09.73"
"1315","-","11.82","21.28","33.65","47.34","50.59","39.89","1:23.38","3:09.85"
"1314","10.49","-","21.29","33.67","47.37","50.62","39.91","1:23.43","3:09.96"
"1313","-","11.83","21.30","33.69","47.39","50.65","39.93","1:23.48","3:10.07"
"1312","-","11.84","-","33.70","47.41","50.68","39.96","1:23.53","3:10.18"
"1311","10.50","11.85","21.31","33.72","47.44","50.71","39.98","1:23.58","3:10.29"
"1310","-","-","21.32","33.73","47.46","50.74","40.00","1:23.63","3:10.40"
"1309","10.51","11.86","21.33","33.75","47.49","50.77","40.02","1:23.68","3:10.51"
"1308","-","11.87","21.34","33.77","47.51","50.80","40.05","1:23.73","3:10.62"
"1307","10.52","-","21.35","33.78","47.53","50.83","40.07","1:23.78","3:10.73"
"1306","-","11.88","21.36","33.80","47.56","50.86","40.09","1:23.82","3:10.84"
"1305","10.53","11.89","21.37","33.82","47.58","50.89","40.11","1:23.87","3:10.95"
"1304","-","-","21.38","33.83","47.60","50.92","40.13","1:23.92","3:11.06"
"1303","-","11.90","21.39","33.85","47.63","50.95","40.16","1:23.97","3:11.17"
"1302","10.54","11.91","21.40","33.87","47.65","50.98","40.18","1:24.02","3:11.28"
"1301","-","11.92","21.41","33.88","47.68","51.02","40.20","1:24.07","3:11.39"
"1300","10.55","-","21.42","33.90","47.70","51.05","40.22","1:24.12","3:11.50"
"1299","-","11.93","-","33.92","47.72","51.08","40.25","1:24.17","3:11.62"
"1298","10.56","11.94","21.43","33.93","47.75","51.11","40.27","1:24.22","3:11.73"
"1297","-","-","21.44","33.95","47.77","51.14","40.29","1:24.27","3:11.84"
"1296","-","11.95","21.45","33.97","47.80","51.17","40.31","1:24.32","3:11.95"
"1295","10.57","11.96","21.46","33.98","47.82","51.20","40.33","1:24.37","3:12.06"
"1294","-","-","21.47","34.00","47.84","51.23","40.36","1:24.41","3:12.17"
"1293","10.58","11.97","21.48","34.02","47.87","51.26","40.38","1:24.46","3:12.28"
"1292","-","11.98","21.49","34.03","47.89","51.29","40.40","1:24.51","3:12.39"
"1291","10.59","-","21.50","34.05","47.92","51.32","40.42","1:24.56","3:12.51"
"1290","-","11.99","21.51","34.07","47.94","51.35","40.45","1:24.61","3:12.62"
"1289","10.60","12.00","21.52","34.08","47.96","51.38","40.47","1:24.66","3:12.73"
"1288","-","12.01","21.53","34.10","47.99","51.41","40.49","1:24.71","3:12.84"
"1287","-","-","21.54","34.12","48.01","51.44","40.51","1:24.76","3:12.95"
"1286","10.61","12.02","21.55","34.13","48.04","51.47","40.53","1:24.81","3:13.06"
"1285","-","12.03","-","34.15","48.06","51.50","40.56","1:24.86","3:13.17"
"1284","10.62","-","21.56","34.17","48.09","51.53","40.58","1:24.91","3:13.29"
"1283","-","12.04","21.57","34.18","48.11","51.56","40.60","1:24.96","3:13.40"
"1282","10.63","12.05","21.58","34.20","48.13","51.59","40.62","1:25.01","3:13.51"
"1281","-","-","21.59","34.22","48.16","51.62","40.65","1:25.06","3:13.62"
"1280","10.64","12.06","21.60","34.23","48.18","51.66","40.67","1:25.11","3:13.73"
"1279","-","12.07","21.61","34.25","48.21","51.69","40.69","1:25.16","3:13.84"
"1278","-","12.08","21.62","34.27","48.23","51.72","40.71","1:25.21","3:13.96"
"1277","10.65","-","21.63","34.28","48.25","51.75","40.74","1:25.26","3:14.07"
"1276","-","12.09","21.64","34.30","48.28","51.78","40.76","1:25.31","3:14.18"
"1275","10.66","12.10","21.65","34.32","48.30","51.81","40.78","1:25.35","3:14.29"
"1274","-","-","21.66","34.33","48.33","51.84","40.80","1:25.40","3:14.40"
"1273","10.67","12.11","21.67","34.35","48.35","51.87","40.83","1:25.45","3:14.52"
"1272","-","12.12","21.68","34.37","48.38","51.90","40.85","1:25.50","3:14.63"
"1271","10.68","-","21.69","34.38","48.40","51.93","40.87","1:25.55","3:14.74"
"1270","-","12.13","-","34.40","48.42","51.96","40.89","1:25.60","3:14.85"
"1269","-","12.14","21.70","34.42","48.45","51.99","40.92","1:25.65","3:14.97"
"1268","10.69","12.15","21.71","34.43","48.47","52.02","40.94","1:25.70","3:15.08"
"1267","-","-","21.72","34.45","48.50","52.05","40.96","1:25.75","3:15.19"
"1266","10.70","12.16","21.73","34.47","48.52","52.08","40.98","1:25.80","3:15.30"
"1265","-","12.17","21.74","34.48","48.54","52.12","41.01","1:25.85","3:15.41"
"1264","10.71","-","21.75","34.50","48.57","52.15","41.03","1:25.90","3:15.53"
"1263","-","12.18","21.76","34.52","48.59","52.18","41.05","1:25.95","3:15.64"
"1262","10.72","12.19","21.77","34.53","48.62","52.21","41.07","1:26.00","3:15.75"
"1261","-","12.20","21.78","34.55","48.64","52.24","41.10","1:26.05","3:15.87"
"1260","-","-","21.79","34.57","48.67","52.27","41.12","1:26.10","3:15.98"
"1259","10.73","12.21","21.80","34.59","48.69","52.30","41.14","1:26.15","3:16.09"
"1258","-","12.22","21.81","34.60","48.72","52.33","41.16","1:26.20","3:16.20"
"1257","10.74","-","21.82","34.62","48.74","52.36","41.19","1:26.25","3:16.32"
"1256","-","12.23","21.83","34.64","48.76","52.39","41.21","1:26.30","3:16.43"
"1255","10.75","12.24","21.84","34.65","48.79","52.42","41.23","1:26.35","3:16.54"
"1254","-","-","21.85","34.67","48.81","52.45","41.25","1:26.40","3:16.65"
"1253","10.76","12.25","-","34.69","48.84","52.49","41.28","1:26.45","3:16.77"
"1252","-","12.26","21.86","34.70","48.86","52.52","41.30","1:26.50","3:16.88"
"1251","10.77","12.27","21.87","34.72","48.89","52.55","41.32","1:26.55","3:16.99"
"1250","-","-","21.88","34.74","48.91","52.58","41.34","1:26.60","3:17.11"
"1249","-","12.28","21.89","34.75","48.93","52.61","41.37","1:26.65","3:17.22"
"1248","10.78","12.29","21.90","34.77","48.96","52.64","41.39","1:26.70","3:17.33"
"1247","-","-","21.91","34.79","48.98","52.67","41.41","1:26.75","3:17.45"
"1246","10.79","12.30","21.92","34.80","49.01","52.70","41.44","1:26.80","3:17.56"
"1245","-","12.31","21.93","34.82","49.03","52.73","41.46","1:26.85","3:17.67"
"1244","10.80","12.32","21.94","34.84","49.06","52.76","41.48","1:26.90","3:17.79"
"1243","-","-","21.95","34.86","49.08","52.80","41.50","1:26.95","3:17.90"
"1242","10.81","12.33","21.96","34.87","49.11","52.83","41.53","1:27.00","3:18.01"
"1241","-","12.34","21.97","34.89","49.13","52.86","41.55","1:27.05","3:18.13"
"1240","-","-","21.98","34.91","49.16","52.89","41.57","1:27.11","3:18.24"
"1239","10.82","12.35","21.99","34.92","49.18","52.92","41.59","1:27.16","3:18.35"
"1238","-","12.36","22.00","34.94","49.20","52.95","41.62","1:27.21","3:18.47"
"1237","10.83","12.37","22.01","34.96","49.23","52.98","41.64","1:27.26","3:18.58"
"1236","-","-","22.02","34.97","49.25","53.01","41.66","1:27.31","3:18.70"
"1235","10.84","12.38","-","34.99","49.28","53.04","41.69","1:27.36","3:18.81"
"1234","-","12.39","22.03","35.01","49.30","53.08","41.71","1:27.41","3:18.92"
"1233","10.85","-","22.04","35.03","49.33","53.11","41.73","1:27.46","3:19.04"
"1232","-","12.40","22.05","35.04","49.35","53.14","41.75","1:27.51","3:19.15"
"1231","10.86","12.41","22.06","35.06","49.38","53.17","41.78","1:27.56","3:19.27"
"1230","-","12.42","22.07","35.08","49.40","53.20","41.80","1:27.61","3:19.38"
